"n","t","v","q","pwm","fa"
"0","0","[0, 0, 0]","[1, 0, 0, 0]","[2e+03, 2e+03, 2e+03, 2e+03]","[0, 0, 0]"
"1","0.02","[-0.00843, 2.37e-21, -0.0211]","[1, 4.17e-20, -8.73e-05, -8.98e-22]","[2e+03, 1.99e+03, 2e+03, 1.99e+03]","[-0.0729, -2.2e-20, -1.18]"
"2","0.04","[-0.0179, 1.78e-19, -0.143]","[1, 4.87e-19, -0.00111, 1.49e-20]","[1.87e+03, 2e+03, 1.87e+03, 2e+03]","[-0.155, -1.31e-19, -1.78]"
"3","0.06","[-0.0257, 7.31e-19, -0.387]","[1, 6.13e-19, -0.0037, 1.64e-19]","[1.81e+03, 2e+03, 1.81e+03, 2e+03]","[-0.223, 6.48e-19, -0.998]"
"4","0.08","[-0.0309, 1.24e-18, -0.599]","[1, 6.8e-19, -0.00904, 4.17e-19]","[1.18e+03, 1e+03, 1.18e+03, 1e+03]","[-0.261, 3.03e-18, 1.23]"
"5","0.1","[-0.0376, 1.4e-18, -0.524]","[1, 7.12e-19, -0.0173, 6.62e-19]","[1.19e+03, 1e+03, 1.19e+03, 1e+03]","[-0.29, 4.26e-18, 2.44]"
"6","0.12","[-0.0413, 1.58e-18, -0.469]","[1, 6.02e-19, -0.0231, 9.35e-19]","[1.82e+03, 2e+03, 1.82e+03, 2e+03]","[-0.412, 1.38e-18, 0.304]"
"7","0.14","[-0.0389, 1.87e-18, -0.507]","[1, 5.3e-19, -0.0291, 1.26e-18]","[1.2e+03, 1e+03, 1.2e+03, 1e+03]","[-0.403, 2.3e-18, 1.21]"
"8","0.16","[-0.0378, 2.04e-18, -0.477]","[0.999, 3.62e-19, -0.0341, 1.59e-18]","[1.87e+03, 2e+03, 1.87e+03, 2e+03]","[-0.516, 9.03e-19, -0.172]"
"9","0.18","[-0.0218, 2.45e-18, -0.641]","[0.999, 5.99e-19, -0.0364, 1.89e-18]","[1.9e+03, 2e+03, 1.9e+03, 2e+03]","[-0.552, 1.22e-18, -0.465]"
"10","0.2","[-0.0121, 2.83e-18, -0.705]","[0.999, 3.11e-19, -0.0379, 2.3e-18]","[1.04e+03, 1e+03, 1.04e+03, 1e+03]","[-0.425, 4.08e-18, 1.86]"
"11","0.22","[-0.0148, 2.86e-18, -0.6]","[0.999, 1.62e-20, -0.0382, 2.73e-18]","[1.94e+03, 2e+03, 1.94e+03, 2e+03]","[-0.535, 3.08e-18, 0.641]"
"12","0.24","[-0.00545, 2.92e-18, -0.654]","[0.999, -3.74e-19, -0.0375, 3.1e-18]","[1e+03, 1.04e+03, 1e+03, 1.04e+03]","[-0.542, 3.1e-18, 0.762]"
"13","0.26","[-0.00506, 2.69e-18, -0.595]","[0.999, -1.29e-18, -0.036, 3.42e-18]","[1.97e+03, 2e+03, 1.97e+03, 2e+03]","[-0.616, 4.58e-18, -0.038]"
"14","0.28","[0.0086, 1.97e-18, -0.735]","[0.999, -1.38e-18, -0.0335, 3.71e-18]","[2e+03, 1.83e+03, 2e+03, 1.83e+03]","[-0.658, 5.8e-18, -0.593]"
"15","0.3","[0.0183, 1.16e-18, -0.845]","[1, -2.12e-18, -0.0283, 3.92e-18]","[1e+03, 1.28e+03, 1e+03, 1.28e+03]","[-0.55, 1.8e-19, 1.58]"
"16","0.32","[0.0133, 6.41e-19, -0.744]","[1, -3.13e-18, -0.023, 4.25e-18]","[2e+03, 1.72e+03, 2e+03, 1.72e+03]","[-0.562, -2.98e-19, 1.61]"
"17","0.34","[0.0128, -7.6e-19, -0.769]","[1, -3.14e-18, -0.0197, 4.51e-18]","[1e+03, 1.09e+03, 1e+03, 1.09e+03]","[-0.631, 6.31e-18, 0.202]"
"18","0.36","[0.00912, -1.8e-18, -0.744]","[1, -2.92e-18, -0.0166, 4.73e-18]","[2e+03, 1.92e+03, 2e+03, 1.92e+03]","[-0.644, 5.47e-18, 0.172]"
"19","0.38","[0.00974, -3.54e-18, -0.887]","[1, -2.34e-18, -0.0145, 4.92e-18]","[2e+03, 1.9e+03, 2e+03, 1.9e+03]","[-0.669, 6.91e-18, -0.392]"
"20","0.4","[0.00714, -4.59e-18, -0.959]","[1, -1.35e-18, -0.012, 5.06e-18]","[1e+03, 1.17e+03, 1e+03, 1.17e+03]","[-0.624, -1.67e-18, 1.9]"
"21","0.42","[-0.000792, -4.81e-18, -0.848]","[1, -4.26e-19, -0.0109, 5.17e-18]","[2e+03, 1.86e+03, 2e+03, 1.86e+03]","[-0.648, -2.22e-18, 1.27]"
"22","0.44","[-0.00541, -4.8e-18, -0.889]","[1, 6.36e-19, -0.0113, 5.25e-18]","[1e+03, 1.05e+03, 1e+03, 1.05e+03]","[-0.666, -1.55e-18, 0.684]"
"23","0.46","[-0.0119, -4.46e-18, -0.83]","[1, 1.99e-18, -0.0126, 5.19e-18]","[1.9e+03, 2e+03, 1.9e+03, 2e+03]","[-0.688, -4.54e-18, 0.17]"
"24","0.48","[-0.0132, -3.02e-18, -0.955]","[1, 2.35e-18, -0.0137, 5.01e-18]","[1.86e+03, 2e+03, 1.86e+03, 2e+03]","[-0.708, -6.43e-18, -0.568]"
"25","0.5","[-0.0139, -1.48e-18, -1.07]","[1, 2.69e-18, -0.0163, 4.88e-18]","[1.07e+03, 1e+03, 1.07e+03, 1e+03]","[-0.658, 3.47e-18, 1.51]"
"26","0.52","[-0.0206, -1.07e-18, -0.953]","[1, 2.93e-18, -0.0195, 4.79e-18]","[1.83e+03, 2e+03, 1.83e+03, 2e+03]","[-0.681, 3.74e-19, 1.06]"
"27","0.54","[-0.0206, 3.35e-19, -0.987]","[1, 2.91e-18, -0.0223, 4.76e-18]","[1.07e+03, 1e+03, 1.07e+03, 1e+03]","[-0.715, -4.24e-18, 0.0362]"
"28","0.56","[-0.0229, 1.26e-18, -0.942]","[1, 3.04e-18, -0.0255, 4.9e-18]","[1.86e+03, 2e+03, 1.86e+03, 2e+03]","[-0.732, -5.76e-18, -0.16]"
"29","0.58","[-0.0156, 3.13e-18, -1.07]","[1, 2.34e-18, -0.0271, 4.9e-18]","[1.9e+03, 2e+03, 1.9e+03, 2e+03]","[-0.759, -7.77e-18, -0.864]"
"30","0.6","[-0.00904, 4.44e-18, -1.16]","[1, 1.95e-18, -0.0286, 4.69e-18]","[1.06e+03, 1e+03, 1.06e+03, 1e+03]","[-0.654, 1.22e-18, 1.29]"
"31","0.62","[-0.0139, 4.72e-18, -1.04]","[1, 1.83e-18, -0.0298, 4.49e-18]","[1.9e+03, 2e+03, 1.9e+03, 2e+03]","[-0.699, -1.87e-18, 0.535]"
"32","0.64","[-0.00918, 5.53e-18, -1.08]","[1, 1.06e-18, -0.0305, 4.35e-18]","[1e+03, 1.01e+03, 1e+03, 1.01e+03]","[-0.716, -2.68e-18, 0.137]"
"33","0.66","[-0.0106, 5.54e-18, -1.02]","[1, -8.22e-19, -0.0309, 4.18e-18]","[1.92e+03, 2e+03, 1.92e+03, 2e+03]","[-0.752, -8.85e-19, -0.412]"
"34","0.68","[-0.000361, 4.85e-18, -1.15]","[1, -1.8e-18, -0.03, 4.09e-18]","[2e+03, 1.9e+03, 2e+03, 1.9e+03]","[-0.78, 7.59e-19, -1.05]"
"35","0.7","[0.00793, 3.54e-18, -1.26]","[1, -3.2e-18, -0.0278, 4.08e-18]","[1e+03, 1.15e+03, 1e+03, 1.15e+03]","[-0.662, -7.8e-18, 1.21]"
"36","0.72","[0.00252, 2.94e-18, -1.14]","[1, -4.16e-18, -0.0256, 4.07e-18]","[2e+03, 1.82e+03, 2e+03, 1.82e+03]","[-0.667, -6.74e-18, 1.16]"
"37","0.74","[0.0036, 1.1e-18, -1.16]","[1, -4.45e-18, -0.0242, 4.1e-18]","[1e+03, 1.07e+03, 1e+03, 1.07e+03]","[-0.73, 3.08e-18, -0.239]"
"38","0.76","[0.0017, -4.21e-19, -1.13]","[1, -4.81e-18, -0.0229, 4.18e-18]","[1.97e+03, 2e+03, 1.97e+03, 2e+03]","[-0.735, 4.16e-18, -0.272]"
