n,t,v,q,pwm,fa
0,10,"[-7.85e-20, 1.94e-18, 0.0296]","[1, -2.76e-19, -5.06e-19, -6.74e-19]","[1.53e+03, 1.53e+03, 1.53e+03, 1.53e+03]","[-4.85e-19, -1.37e-19, -0.023]"
1,10,"[-0.000312, -5.95e-05, 0.00407]","[1, -0.000406, 0.00224, -1.14e-05]","[1.61e+03, 1.65e+03, 1.62e+03, 1.63e+03]","[0.0115, 0.00196, 0.898]"
2,10,"[-0.00262, -0.000463, -0.0303]","[1, -0.00146, 0.00846, -2.65e-05]","[1.35e+03, 1.39e+03, 1.36e+03, 1.38e+03]","[-0.0536, -0.00935, 5.24]"
3,10.1,"[-0.00642, -0.00111, 0.00722]","[1, -0.0027, 0.0158, -3.6e-05]","[1.49e+03, 1.53e+03, 1.5e+03, 1.52e+03]","[0.111, 0.0188, -2.97]"
4,10.1,"[-0.0132, -0.00227, 0.0314]","[1, -0.00395, 0.0233, -4.2e-05]","[1.6e+03, 1.61e+03, 1.6e+03, 1.6e+03]","[0.137, 0.0231, -2.84]"
5,10.1,"[-0.0244, -0.00416, 0.0204]","[1, -0.00519, 0.0307, -4.69e-05]","[1.47e+03, 1.51e+03, 1.48e+03, 1.5e+03]","[-0.0822, -0.0138, 1.93]"
6,10.1,"[-0.0373, -0.00632, 0.0288]","[0.999, -0.0064, 0.0379, -5.1e-05]","[1.47e+03, 1.51e+03, 1.48e+03, 1.51e+03]","[0.0424, 0.00717, -0.155]"
7,10.1,"[-0.052, -0.0088, 0.0474]","[0.999, -0.00756, 0.0448, -5.32e-05]","[1.51e+03, 1.54e+03, 1.51e+03, 1.54e+03]","[0.135, 0.0228, -1.32]"
8,10.2,"[-0.07, -0.0118, 0.0578]","[0.999, -0.0087, 0.0514, -5.46e-05]","[1.53e+03, 1.55e+03, 1.53e+03, 1.54e+03]","[0.0902, 0.0154, -0.732]"
9,10.2,"[-0.091, -0.0154, 0.0616]","[0.998, -0.0098, 0.0577, -5.56e-05]","[1.49e+03, 1.53e+03, 1.49e+03, 1.53e+03]","[0.00124, 0.000394, 0.244]"
10,10.2,"[-0.114, -0.0192, 0.0708]","[0.998, -0.0109, 0.0636, -5.57e-05]","[1.49e+03, 1.54e+03, 1.5e+03, 1.53e+03]","[0.0699, 0.012, -0.353]"
11,10.2,"[-0.139, -0.0234, 0.0809]","[0.998, -0.0118, 0.0691, -5.47e-05]","[1.54e+03, 1.55e+03, 1.54e+03, 1.55e+03]","[0.139, 0.0237, -0.948]"
12,10.2,"[-0.166, -0.0281, 0.0845]","[0.997, -0.0128, 0.074, -5.14e-05]","[1.51e+03, 1.53e+03, 1.5e+03, 1.53e+03]","[0.000489, 0.000307, 0.179]"
13,10.3,"[-0.195, -0.0331, 0.0922]","[0.997, -0.0137, 0.0785, -4.65e-05]","[1.52e+03, 1.54e+03, 1.53e+03, 1.53e+03]","[0.0953, 0.0165, -0.504]"
14,10.3,"[-0.226, -0.0384, 0.0986]","[0.996, -0.0145, 0.0825, -3.92e-05]","[1.5e+03, 1.55e+03, 1.5e+03, 1.54e+03]","[0.0392, 0.00693, -0.105]"
15,10.3,"[-0.258, -0.044, 0.106]","[0.996, -0.0153, 0.0859, -2.84e-05]","[1.52e+03, 1.54e+03, 1.52e+03, 1.54e+03]","[0.0859, 0.0151, -0.409]"
16,10.3,"[-0.292, -0.05, 0.111]","[0.996, -0.016, 0.0889, -1.54e-05]","[1.54e+03, 1.55e+03, 1.55e+03, 1.54e+03]","[0.0977, 0.0171, -0.522]"
17,10.3,"[-0.328, -0.0563, 0.112]","[0.996, -0.0166, 0.0913, 2.09e-06]","[1.52e+03, 1.53e+03, 1.5e+03, 1.54e+03]","[-0.0225, -0.00427, 0.252]"
18,10.4,"[-0.363, -0.0627, 0.117]","[0.995, -0.0172, 0.0932, 2.41e-05]","[1.52e+03, 1.55e+03, 1.52e+03, 1.55e+03]","[0.0659, 0.0115, -0.276]"
19,10.4,"[-0.4, -0.0694, 0.121]","[0.995, -0.0178, 0.0945, 4.9e-05]","[1.55e+03, 1.55e+03, 1.55e+03, 1.54e+03]","[0.0899, 0.0158, -0.469]"
20,10.4,"[-0.438, -0.0765, 0.12]","[0.995, -0.0182, 0.0951, 7.89e-05]","[1.53e+03, 1.54e+03, 1.51e+03, 1.55e+03]","[-0.0382, -0.00829, 0.295]"
21,10.4,"[-0.475, -0.0836, 0.122]","[0.995, -0.0186, 0.0951, 0.000114]","[1.54e+03, 1.54e+03, 1.55e+03, 1.53e+03]","[0.0561, 0.00921, -0.246]"
22,10.4,"[-0.512, -0.0909, 0.123]","[0.995, -0.0189, 0.0945, 0.000153]","[1.53e+03, 1.56e+03, 1.53e+03, 1.56e+03]","[0.0165, 0.00131, -0.0417]"
23,10.5,"[-0.55, -0.0985, 0.122]","[0.995, -0.0192, 0.0934, 0.000199]","[1.54e+03, 1.54e+03, 1.54e+03, 1.54e+03]","[-0.00663, -0.00376, 0.0947]"
24,10.5,"[-0.587, -0.106, 0.12]","[0.996, -0.0194, 0.0917, 0.00025]","[1.54e+03, 1.54e+03, 1.54e+03, 1.54e+03]","[0.00243, -0.00249, 0.0414]"
25,10.5,"[-0.623, -0.114, 0.118]","[0.996, -0.0195, 0.0894, 0.000305]","[1.55e+03, 1.54e+03, 1.54e+03, 1.54e+03]","[-0.00166, -0.00397, 0.0617]"
26,10.5,"[-0.658, -0.122, 0.116]","[0.996, -0.0196, 0.0865, 0.000366]","[1.54e+03, 1.54e+03, 1.53e+03, 1.54e+03]","[-0.012, -0.00696, 0.143]"
27,10.5,"[-0.691, -0.129, 0.113]","[0.996, -0.0196, 0.083, 0.000431]","[1.55e+03, 1.55e+03, 1.54e+03, 1.56e+03]","[0.0181, -0.000697, -0.0721]"
28,10.6,"[-0.724, -0.137, 0.108]","[0.997, -0.0195, 0.079, 0.000503]","[1.55e+03, 1.53e+03, 1.53e+03, 1.56e+03]","[-0.0342, -0.0139, 0.295]"
29,10.6,"[-0.755, -0.145, 0.103]","[0.997, -0.0194, 0.0745, 0.000581]","[1.55e+03, 1.53e+03, 1.52e+03, 1.55e+03]","[-0.0228, -0.0123, 0.272]"
30,10.6,"[-0.783, -0.153, 0.101]","[0.997, -0.0192, 0.0694, 0.000662]","[1.56e+03, 1.55e+03, 1.54e+03, 1.58e+03]","[0.0649, 0.0106, -0.444]"
31,10.6,"[-0.81, -0.161, 0.0925]","[0.998, -0.019, 0.064, 0.000751]","[1.56e+03, 1.54e+03, 1.53e+03, 1.57e+03]","[-0.0147, -0.0123, 0.203]"
32,10.6,"[-0.835, -0.168, 0.0841]","[0.998, -0.0187, 0.0581, 0.000845]","[1.55e+03, 1.53e+03, 1.52e+03, 1.56e+03]","[-0.0368, -0.0207, 0.486]"
33,10.7,"[-0.857, -0.176, 0.0785]","[0.998, -0.0183, 0.0518, 0.000944]","[1.55e+03, 1.54e+03, 1.53e+03, 1.56e+03]","[0.00896, -0.00686, 0.0675]"
34,10.7,"[-0.876, -0.183, 0.0723]","[0.999, -0.0178, 0.0451, 0.00105]","[1.54e+03, 1.54e+03, 1.53e+03, 1.55e+03]","[-0.000569, -0.0116, 0.236]"
35,10.7,"[-0.892, -0.19, 0.0664]","[0.999, -0.0173, 0.0382, 0.00115]","[1.56e+03, 1.57e+03, 1.56e+03, 1.57e+03]","[0.0364, 0.00363, -0.316]"
36,10.7,"[-0.906, -0.197, 0.0549]","[0.999, -0.0167, 0.031, 0.00126]","[1.52e+03, 1.54e+03, 1.51e+03, 1.54e+03]","[-0.0288, -0.0304, 0.883]"
37,10.7,"[-0.916, -0.204, 0.0493]","[1, -0.0161, 0.0237, 0.00137]","[1.55e+03, 1.56e+03, 1.54e+03, 1.57e+03]","[0.0289, 0.00127, -0.191]"
38,10.8,"[-0.924, -0.21, 0.0407]","[1, -0.0154, 0.0161, 0.00148]","[1.53e+03, 1.56e+03, 1.53e+03, 1.56e+03]","[0.0146, -0.0109, 0.268]"
39,10.8,"[-0.928, -0.216, 0.032]","[1, -0.0146, 0.00847, 0.00159]","[1.56e+03, 1.56e+03, 1.57e+03, 1.56e+03]","[0.0248, -0.000303, -0.146]"
40,10.8,"[-0.929, -0.222, 0.0185]","[1, -0.0139, 0.000694, 0.0017]","[1.53e+03, 1.55e+03, 1.54e+03, 1.55e+03]","[0.0231, -0.0196, 0.675]"
41,10.8,"[-0.927, -0.228, 0.00908]","[1, -0.0131, -0.00716, 0.00181]","[1.53e+03, 1.55e+03, 1.53e+03, 1.55e+03]","[0.029, -0.00688, 0.28]"
42,10.8,"[-0.922, -0.233, 0.00223]","[1, -0.0123, -0.015, 0.00192]","[1.55e+03, 1.57e+03, 1.55e+03, 1.56e+03]","[0.0236, 0.00253, -0.124]"
43,10.9,"[-0.914, -0.238, -0.00706]","[1, -0.0115, -0.0228, 0.00203]","[1.54e+03, 1.54e+03, 1.54e+03, 1.54e+03]","[0.0409, -0.00538, 0.361]"
44,10.9,"[-0.902, -0.242, -0.0133]","[0.999, -0.0106, -0.0303, 0.00214]","[1.55e+03, 1.57e+03, 1.55e+03, 1.56e+03]","[0.0156, 0.00704, -0.244]"
45,10.9,"[-0.888, -0.246, -0.0257]","[0.999, -0.00974, -0.0377, 0.00225]","[1.56e+03, 1.57e+03, 1.56e+03, 1.57e+03]","[0.0513, -0.0018, 0.262]"
46,10.9,"[-0.87, -0.25, -0.0395]","[0.999, -0.00887, -0.045, 0.00235]","[1.51e+03, 1.53e+03, 1.52e+03, 1.53e+03]","[0.107, -0.00948, 1.02]"
47,10.9,"[-0.849, -0.253, -0.0436]","[0.999, -0.00798, -0.0521, 0.00246]","[1.59e+03, 1.57e+03, 1.59e+03, 1.57e+03]","[-0.0515, 0.0193, -0.904]"
48,11,"[-0.826, -0.256, -0.0576]","[0.998, -0.0071, -0.0589, 0.00256]","[1.53e+03, 1.55e+03, 1.53e+03, 1.54e+03]","[0.129, -0.00275, 0.942]"
49,11,"[-0.799, -0.259, -0.067]","[0.998, -0.00621, -0.0654, 0.00266]","[1.56e+03, 1.57e+03, 1.57e+03, 1.57e+03]","[0.0238, 0.0111, -0.0856]"
50,11,"[-0.77, -0.261, -0.0786]","[0.997, -0.00534, -0.0717, 0.00276]","[1.52e+03, 1.54e+03, 1.53e+03, 1.53e+03]","[0.131, 0.005, 0.837]"
51,11,"[-0.739, -0.262, -0.0833]","[0.997, -0.00447, -0.0776, 0.00286]","[1.59e+03, 1.57e+03, 1.6e+03, 1.57e+03]","[-0.0783, 0.0198, -0.807]"
52,11,"[-0.705, -0.264, -0.0981]","[0.997, -0.00361, -0.0832, 0.00295]","[1.57e+03, 1.56e+03, 1.57e+03, 1.55e+03]","[0.115, 0.0128, 0.514]"
53,11.1,"[-0.668, -0.265, -0.11]","[0.996, -0.00277, -0.0884, 0.00304]","[1.52e+03, 1.52e+03, 1.52e+03, 1.52e+03]","[0.179, 0.0131, 1.03]"
54,11.1,"[-0.632, -0.265, -0.112]","[0.996, -0.00194, -0.0932, 0.00312]","[1.58e+03, 1.59e+03, 1.59e+03, 1.58e+03]","[-0.119, 0.0217, -0.917]"
55,11.1,"[-0.591, -0.265, -0.127]","[0.995, -0.00113, -0.0975, 0.00321]","[1.57e+03, 1.56e+03, 1.57e+03, 1.55e+03]","[0.147, 0.0206, 0.614]"
56,11.1,"[-0.548, -0.265, -0.139]","[0.995, -0.000347, -0.102, 0.00329]","[1.55e+03, 1.53e+03, 1.55e+03, 1.53e+03]","[0.136, 0.0224, 0.626]"
57,11.1,"[-0.506, -0.265, -0.144]","[0.994, 0.000415, -0.105, 0.00337]","[1.56e+03, 1.56e+03, 1.56e+03, 1.56e+03]","[0.00898, 0.0236, -0.0785]"
58,11.2,"[-0.461, -0.264, -0.151]","[0.994, 0.00115, -0.108, 0.00344]","[1.55e+03, 1.56e+03, 1.55e+03, 1.56e+03]","[0.0836, 0.0262, 0.295]"
59,11.2,"[-0.416, -0.263, -0.159]","[0.994, 0.00187, -0.111, 0.00352]","[1.59e+03, 1.57e+03, 1.59e+03, 1.56e+03]","[-0.0186, 0.0262, -0.281]"
60,11.2,"[-0.368, -0.261, -0.173]","[0.994, 0.00255, -0.113, 0.00359]","[1.56e+03, 1.54e+03, 1.56e+03, 1.54e+03]","[0.19, 0.0326, 0.79]"
61,11.2,"[-0.321, -0.26, -0.18]","[0.993, 0.0032, -0.115, 0.00366]","[1.55e+03, 1.55e+03, 1.55e+03, 1.55e+03]","[0.0868, 0.0307, 0.318]"
62,11.2,"[-0.273, -0.258, -0.186]","[0.993, 0.00381, -0.116, 0.00372]","[1.56e+03, 1.56e+03, 1.56e+03, 1.56e+03]","[0.0349, 0.0303, 0.0382]"
63,11.3,"[-0.225, -0.255, -0.194]","[0.993, 0.00439, -0.117, 0.00379]","[1.55e+03, 1.56e+03, 1.55e+03, 1.56e+03]","[0.112, 0.0346, 0.401]"
64,11.3,"[-0.176, -0.253, -0.202]","[0.993, 0.00494, -0.117, 0.00385]","[1.56e+03, 1.55e+03, 1.57e+03, 1.54e+03]","[0.0579, 0.0328, 0.166]"
65,11.3,"[-0.128, -0.25, -0.208]","[0.993, 0.00545, -0.117, 0.00391]","[1.56e+03, 1.56e+03, 1.56e+03, 1.56e+03]","[0.0696, 0.0344, 0.194]"
66,11.3,"[-0.0792, -0.247, -0.216]","[0.993, 0.00593, -0.116, 0.00397]","[1.53e+03, 1.54e+03, 1.53e+03, 1.54e+03]","[0.144, 0.0385, 0.605]"
67,11.3,"[-0.0321, -0.244, -0.219]","[0.993, 0.00638, -0.115, 0.00403]","[1.57e+03, 1.57e+03, 1.57e+03, 1.57e+03]","[-0.0473, 0.0285, -0.37]"
68,11.4,"[0.0161, -0.241, -0.228]","[0.993, 0.00679, -0.114, 0.00408]","[1.56e+03, 1.55e+03, 1.56e+03, 1.55e+03]","[0.129, 0.0398, 0.483]"
69,11.4,"[0.0627, -0.237, -0.234]","[0.994, 0.00716, -0.112, 0.00414]","[1.52e+03, 1.53e+03, 1.52e+03, 1.53e+03]","[0.135, 0.0395, 0.608]"
70,11.4,"[0.107, -0.234, -0.234]","[0.994, 0.00751, -0.11, 0.0042]","[1.57e+03, 1.57e+03, 1.57e+03, 1.57e+03]","[-0.0917, 0.0241, -0.598]"
71,11.4,"[0.153, -0.23, -0.242]","[0.994, 0.00782, -0.108, 0.00425]","[1.53e+03, 1.55e+03, 1.53e+03, 1.55e+03]","[0.155, 0.0425, 0.667]"
72,11.4,"[0.196, -0.227, -0.247]","[0.994, 0.0081, -0.105, 0.00431]","[1.57e+03, 1.55e+03, 1.57e+03, 1.55e+03]","[-0.00994, 0.029, -0.171]"
73,11.5,"[0.238, -0.223, -0.252]","[0.995, 0.00835, -0.102, 0.00436]","[1.54e+03, 1.55e+03, 1.54e+03, 1.55e+03]","[0.0759, 0.036, 0.287]"
74,11.5,"[0.279, -0.219, -0.256]","[0.995, 0.00857, -0.0986, 0.00442]","[1.53e+03, 1.54e+03, 1.53e+03, 1.54e+03]","[0.0613, 0.034, 0.261]"
75,11.5,"[0.317, -0.215, -0.257]","[0.995, 0.00876, -0.0949, 0.00447]","[1.54e+03, 1.56e+03, 1.54e+03, 1.56e+03]","[-0.0126, 0.0265, -0.175]"
76,11.5,"[0.355, -0.211, -0.261]","[0.996, 0.00893, -0.0911, 0.00452]","[1.54e+03, 1.54e+03, 1.54e+03, 1.54e+03]","[0.0446, 0.0314, 0.199]"
77,11.5,"[0.39, -0.207, -0.262]","[0.996, 0.00906, -0.0869, 0.00457]","[1.56e+03, 1.55e+03, 1.56e+03, 1.55e+03]","[-0.0421, 0.0215, -0.367]"
78,11.6,"[0.425, -0.203, -0.266]","[0.997, 0.00918, -0.0826, 0.00463]","[1.53e+03, 1.55e+03, 1.53e+03, 1.55e+03]","[0.0539, 0.0316, 0.271]"
