n,t,v,q,pwm,fa
0,10,"[-0.000466, -1.11e-19, 0.0297]","[0.999, -5.37e-19, -0.0445, 6.32e-18]","[1.51e+03, 1.55e+03, 1.51e+03, 1.55e+03]","[-1.32, -2.23e-19, 0.0595]"
1,10,"[0.00523, -2.87e-05, -0.038]","[0.999, -0.000119, -0.0428, -1.14e-05]","[1.91e+03, 2e+03, 1.91e+03, 2e+03]","[-2.43, 0.00415, -25.5]"
2,10,"[0.0177, -0.000183, -0.209]","[0.999, -0.000313, -0.0384, -2.69e-05]","[1.13e+03, 1.22e+03, 1.13e+03, 1.21e+03]","[-0.393, 0.000267, 4.91]"
3,10.1,"[0.0113, -0.000302, -0.164]","[0.999, -0.000517, -0.0334, -4.06e-05]","[1.32e+03, 1.41e+03, 1.32e+03, 1.41e+03]","[-0.894, 0.000121, 12.1]"
4,10.1,"[0.00183, -0.000462, -0.0976]","[1, -0.000698, -0.0289, -5.15e-05]","[1.75e+03, 1.77e+03, 1.75e+03, 1.77e+03]","[-1.62, 0.0114, -5.9]"
5,10.1,"[-0.00262, -0.000841, -0.144]","[1, -0.00086, -0.0249, -6.05e-05]","[1.5e+03, 1.56e+03, 1.5e+03, 1.55e+03]","[-1.23, 0.00329, -4.53]"
6,10.1,"[-0.0101, -0.00124, -0.161]","[1, -0.001, -0.0212, -6.82e-05]","[1.37e+03, 1.44e+03, 1.37e+03, 1.44e+03]","[-1.08, -0.00376, 5.33]"
7,10.1,"[-0.021, -0.00159, -0.129]","[1, -0.00113, -0.018, -7.46e-05]","[1.56e+03, 1.6e+03, 1.56e+03, 1.6e+03]","[-1.3, 0.00516, 0.304]"
8,10.2,"[-0.0316, -0.00205, -0.132]","[1, -0.00122, -0.0154, -7.97e-05]","[1.55e+03, 1.6e+03, 1.55e+03, 1.6e+03]","[-1.29, 0.00499, -2.96]"
9,10.2,"[-0.0427, -0.00259, -0.148]","[1, -0.0013, -0.0132, -8.38e-05]","[1.46e+03, 1.51e+03, 1.46e+03, 1.51e+03]","[-1.22, -0.0019, 1.08]"
10,10.2,"[-0.0552, -0.00308, -0.14]","[1, -0.00136, -0.0114, -8.7e-05]","[1.5e+03, 1.55e+03, 1.5e+03, 1.55e+03]","[-1.25, 0.000487, 1.13]"
11,10.2,"[-0.0681, -0.00361, -0.135]","[1, -0.0014, -0.0101, -8.92e-05]","[1.53e+03, 1.58e+03, 1.53e+03, 1.58e+03]","[-1.28, 0.00263, -0.974]"
12,10.2,"[-0.0811, -0.00417, -0.141]","[1, -0.00142, -0.00917, -9.07e-05]","[1.5e+03, 1.55e+03, 1.5e+03, 1.55e+03]","[-1.26, -0.000347, -0.173]"
13,10.3,"[-0.0944, -0.00473, -0.141]","[1, -0.00142, -0.00867, -9.15e-05]","[1.49e+03, 1.54e+03, 1.49e+03, 1.54e+03]","[-1.26, -0.00101, 0.665]"
14,10.3,"[-0.108, -0.00527, -0.137]","[1, -0.00141, -0.00855, -9.16e-05]","[1.52e+03, 1.56e+03, 1.52e+03, 1.56e+03]","[-1.27, 0.000307, -0.0842]"
15,10.3,"[-0.121, -0.00582, -0.138]","[1, -0.00139, -0.00878, -9.1e-05]","[1.51e+03, 1.56e+03, 1.51e+03, 1.55e+03]","[-1.26, -0.000544, -0.193]"
16,10.3,"[-0.134, -0.00636, -0.138]","[1, -0.00135, -0.00933, -8.99e-05]","[1.5e+03, 1.55e+03, 1.5e+03, 1.55e+03]","[-1.26, -0.00153, 0.315]"
17,10.3,"[-0.147, -0.00687, -0.136]","[1, -0.00129, -0.0102, -8.82e-05]","[1.51e+03, 1.55e+03, 1.51e+03, 1.55e+03]","[-1.26, -0.00127, 0.232]"
18,10.4,"[-0.159, -0.00735, -0.135]","[1, -0.00123, -0.0113, -8.6e-05]","[1.51e+03, 1.55e+03, 1.51e+03, 1.55e+03]","[-1.26, -0.00131, -0.00569]"
19,10.4,"[-0.17, -0.00782, -0.135]","[1, -0.00115, -0.0126, -8.34e-05]","[1.5e+03, 1.55e+03, 1.5e+03, 1.55e+03]","[-1.26, -0.00191, 0.203]"
20,10.4,"[-0.181, -0.00825, -0.133]","[1, -0.00106, -0.0142, -8.04e-05]","[1.5e+03, 1.55e+03, 1.51e+03, 1.55e+03]","[-1.25, -0.0021, 0.343]"
21,10.4,"[-0.192, -0.00863, -0.131]","[1, -0.000955, -0.016, -7.71e-05]","[1.51e+03, 1.55e+03, 1.51e+03, 1.55e+03]","[-1.25, -0.00207, 0.221]"
22,10.4,"[-0.201, -0.00898, -0.13]","[1, -0.000842, -0.0179, -7.34e-05]","[1.51e+03, 1.55e+03, 1.51e+03, 1.55e+03]","[-1.25, -0.00235, 0.271]"
