n,t,v,q,pwm,fa
0,0,"[0, 0, 0]","[1, 0, 0, 0]","[2e+03, 1e+03, 2e+03, 1e+03]","[-0.97, 0, 0]"
1,0.02,"[-0.00948, 6.45e-22, -0.0175]","[1, 4.54e-20, 0.000112, -3.3e-21]","[1e+03, 2e+03, 1e+03, 2e+03]","[-0.966, 5.55e-44, 1.68e-05]"
2,0.04,"[-0.0163, -3.77e-20, -0.0321]","[1, -7.21e-19, 0.000153, -1.21e-19]","[1e+03, 2e+03, 1e+03, 2e+03]","[-0.963, -1.17e-42, 5.65e-05]"
3,0.06,"[-0.0272, 1.76e-19, 0.0147]","[1, 6.05e-18, 0.000282, 1.8e-19]","[1e+03, 2e+03, 1e+03, 2e+03]","[-0.958, -7.28e-39, -1.18e-05]"
4,0.08,"[-0.0338, -1.24e-17, -0.00497]","[1, -4.57e-17, 0.000375, -3.87e-18]","[1e+03, 2e+03, 1e+03, 2e+03]","[-0.955, 8.16e-36, 1.37e-06]"
5,0.1,"[-0.0465, -3.22e-16, 0.0363]","[1, -5.41e-15, 0.000538, -3.25e-16]","[1e+03, 2e+03, 1e+03, 2e+03]","[-0.949, 3.05e-32, -7.23e-05]"
6,0.12,"[-0.0438, -3.48e-15, -0.0285]","[1, -1.67e-14, 0.000704, -1.24e-15]","[2e+03, 1e+03, 2e+03, 1e+03]","[-0.95, 3.82e-31, 4.49e-05]"
7,0.14,"[-0.0566, -1.06e-14, 0.0155]","[1, -2.73e-14, 0.000718, -2.16e-15]","[2e+03, 1.11e+03, 2e+03, 1.11e+03]","[-0.944, 7.55e-30, -1.31e-05]"
8,0.16,"[-0.0627, 9.96e-14, 0.0223]","[1, 1.95e-12, 0.000732, 1.18e-13]","[2e+03, 1e+03, 2e+03, 1e+03]","[-0.941, -2.22e-27, -2.71e-05]"
9,0.18,"[-0.0567, 9.59e-13, -0.0359]","[1, -1.46e-13, 0.000719, 9.71e-14]","[2e+03, 1e+03, 2e+03, 1e+03]","[-0.944, -5.29e-26, 7.14e-05]"
10,0.2,"[-0.0693, 2.91e-11, -0.000259]","[1, 2.52e-10, 0.000662, 1.51e-11]","[2e+03, 1.3e+03, 2e+03, 1.3e+03]","[-0.938, -5.31e-23, 6.79e-09]"
11,0.22,"[-0.0819, 1.46e-10, 0.0363]","[1, 3.17e-09, 0.000645, 1.88e-10]","[2e+03, 1e+03, 2e+03, 1e+03]","[-0.933, -9.11e-21, -7.22e-05]"
