n,t,v,q,pwm,fa
0,0,"[0, 0, 0]","[1, 0, 0, 0]","[2e+03, 1e+03, 2e+03, 1e+03]","[-0.093, 0, 0]"
1,0.02,"[-0.000967, 1.84e-20, -0.00852]","[1, 9.63e-19, 2.54e-05, 1.21e-19]","[2e+03, 1e+03, 2e+03, 1e+03]","[-0.0928, -2.68e-43, 3.99e-06]"
2,0.04,"[-0.00169, 7.85e-19, -0.0201]","[1, 7.03e-18, 0.000123, 8.86e-19]","[2e+03, 1e+03, 2e+03, 1e+03]","[-0.0927, -1.4e-38, 2.23e-05]"
3,0.06,"[-0.00254, 3.09e-18, -0.0029]","[1, 1.43e-17, 0.000278, 1.79e-18]","[2e+03, 1e+03, 2e+03, 1e+03]","[-0.0926, -5e-37, 4.62e-07]"
4,0.08,"[-0.00344, 7.14e-18, 0.00284]","[1, 1.83e-17, 0.000405, 2.4e-18]","[2e+03, 1e+03, 2e+03, 1e+03]","[-0.0925, -2.9e-36, -4.43e-07]"
5,0.1,"[-0.00398, 1.11e-17, -0.00765]","[1, 2.32e-17, 0.000608, 3.01e-18]","[2e+03, 1e+03, 2e+03, 1e+03]","[-0.0924, -6.34e-36, 3.22e-06]"
6,0.12,"[-0.00476, 1.63e-17, -0.0089]","[1, 2.45e-17, 0.000726, 3.33e-18]","[2e+03, 1e+03, 2e+03, 1e+03]","[-0.0923, -1.4e-35, 4.37e-06]"
7,0.14,"[-0.00622, 2.4e-17, 0.0373]","[1, 2.64e-17, 0.000939, 3.63e-18]","[2e+03, 1e+03, 2e+03, 1e+03]","[-0.0921, -3.71e-35, -7.65e-05]"
8,0.16,"[-0.00527, 2.21e-17, -0.0443]","[1, 2.74e-17, 0.0011, 3.84e-18]","[2e+03, 1e+03, 2e+03, 1e+03]","[-0.0922, -2.15e-35, 0.000108]"
9,0.18,"[-0.00683, 3.04e-17, 0.00147]","[1, 2.78e-17, 0.00123, 3.96e-18]","[2e+03, 1e+03, 2e+03, 1e+03]","[-0.092, -5.13e-35, -1.16e-07]"
10,0.2,"[-0.00845, 3.89e-17, 0.0472]","[1, 2.88e-17, 0.00146, 4.09e-18]","[2e+03, 1e+03, 2e+03, 1e+03]","[-0.0917, -9.55e-35, -0.000122]"
11,0.22,"[-0.00623, 2.95e-17, -0.0636]","[1, 2.92e-17, 0.0016, 4.18e-18]","[2e+03, 1e+03, 2e+03, 1e+03]","[-0.0921, -3.66e-35, 0.000223]"
12,0.24,"[-0.00794, 3.82e-17, -0.0179]","[1, 2.92e-17, 0.00169, 4.23e-18]","[2e+03, 1e+03, 2e+03, 1e+03]","[-0.0918, -7.62e-35, 1.77e-05]"
