n,t,v,q,pwm,fa
0,0,"[0, 0, 0]","[1, 0, 0, 0]","[2e+03, 2e+03, 2e+03, 1e+03]","[0, 0, 0]"
1,0.02,"[-2.11e-05, 2.16e-05, -0.00232]","[1, 0.000546, 0.000537, 1.19e-05]","[2e+03, 1e+03, 2e+03, 2e+03]","[1.91e-11, -1.99e-11, 2.96e-07]"
2,0.04,"[-0.000701, 0.000601, -0.0128]","[1, 0.00358, 0.00444, 6.2e-05]","[1.48e+03, 1.52e+03, 2e+03, 2e+03]","[1.9e-08, -1.43e-08, 9.04e-06]"
3,0.06,"[-0.00372, 0.00291, -0.0152]","[1, 0.00796, 0.0107, 0.000159]","[1e+03, 2e+03, 1.22e+03, 2e+03]","[6.32e-07, -3.92e-07, 1.29e-05]"
4,0.08,"[-0.0102, 0.00762, -0.0504]","[1, 0.0124, 0.0172, 0.000237]","[1e+03, 2e+03, 1.23e+03, 2e+03]","[3.9e-06, -2.23e-06, 0.000142]"
5,0.1,"[-0.0202, 0.0148, -0.101]","[1, 0.0165, 0.0233, 0.000292]","[2e+03, 2e+03, 1e+03, 2e+03]","[1.32e-05, -7.21e-06, 0.000573]"
6,0.12,"[-0.0349, 0.0251, -0.185]","[0.999, 0.0203, 0.0289, 0.000339]","[2e+03, 1.27e+03, 1e+03, 2e+03]","[3.2e-05, -1.7e-05, 0.00194]"
7,0.14,"[-0.0507, 0.0361, -0.239]","[0.999, 0.0237, 0.0339, 0.000384]","[2e+03, 1e+03, 2e+03, 2e+03]","[6.45e-05, -3.37e-05, 0.00326]"
8,0.16,"[-0.0691, 0.049, -0.297]","[0.999, 0.0268, 0.0384, 0.000426]","[2e+03, 1.58e+03, 2e+03, 1e+03]","[0.000116, -5.97e-05, 0.00507]"
9,0.18,"[-0.0881, 0.0621, -0.334]","[0.999, 0.0295, 0.0424, 0.000462]","[2e+03, 1e+03, 1.59e+03, 1.67e+03]","[0.000193, -9.79e-05, 0.00649]"
10,0.2,"[-0.11, 0.0773, -0.385]","[0.998, 0.032, 0.0459, 0.000473]","[2e+03, 1e+03, 2e+03, 1.91e+03]","[0.000301, -0.000151, 0.0087]"
11,0.22,"[-0.137, 0.0959, -0.471]","[0.998, 0.0341, 0.0491, 0.000486]","[2e+03, 1.12e+03, 2e+03, 1e+03]","[0.000444, -0.000221, 0.0131]"
12,0.24,"[-0.163, 0.114, -0.529]","[0.998, 0.036, 0.0519, 0.000496]","[1.71e+03, 2e+03, 1e+03, 2e+03]","[0.000626, -0.000311, 0.0166]"
13,0.26,"[-0.192, 0.133, -0.599]","[0.998, 0.0376, 0.0543, 0.000506]","[2e+03, 1e+03, 2e+03, 1.18e+03]","[0.000855, -0.000422, 0.0214]"
14,0.28,"[-0.222, 0.154, -0.679]","[0.998, 0.0391, 0.0564, 0.000508]","[2e+03, 1e+03, 2e+03, 2e+03]","[0.00113, -0.000556, 0.0277]"
15,0.3,"[-0.258, 0.179, -0.791]","[0.997, 0.0404, 0.0582, 0.000511]","[2e+03, 1e+03, 1.84e+03, 2e+03]","[0.00147, -0.000716, 0.0377]"
16,0.32,"[-0.296, 0.205, -0.913]","[0.997, 0.0415, 0.0597, 0.000515]","[2e+03, 1.74e+03, 1e+03, 2e+03]","[0.00185, -0.000901, 0.0502]"
17,0.34,"[-0.331, 0.229, -1]","[0.997, 0.0424, 0.061, 0.000512]","[1e+03, 2e+03, 1.77e+03, 2e+03]","[0.0023, -0.00112, 0.0609]"
18,0.36,"[-0.367, 0.253, -1.09]","[0.997, 0.0431, 0.062, 0.000507]","[1.25e+03, 2e+03, 2e+03, 1e+03]","[0.00282, -0.00137, 0.0723]"
19,0.38,"[-0.401, 0.277, -1.17]","[0.997, 0.0436, 0.0628, 0.000508]","[2e+03, 1.05e+03, 1e+03, 2e+03]","[0.00341, -0.00165, 0.0833]"
20,0.4,"[-0.434, 0.299, -1.23]","[0.997, 0.044, 0.0633, 0.000492]","[1.12e+03, 2e+03, 1.14e+03, 2e+03]","[0.00408, -0.00197, 0.0924]"
21,0.42,"[-0.469, 0.323, -1.3]","[0.997, 0.0442, 0.0637, 0.000472]","[2e+03, 1e+03, 2e+03, 1.99e+03]","[0.00483, -0.00232, 0.104]"
22,0.44,"[-0.504, 0.347, -1.38]","[0.997, 0.0444, 0.0638, 0.000454]","[2e+03, 2e+03, 2e+03, 1e+03]","[0.00567, -0.00272, 0.118]"
23,0.46,"[-0.541, 0.373, -1.47]","[0.997, 0.0444, 0.0638, 0.000439]","[2e+03, 1e+03, 2e+03, 1.51e+03]","[0.00659, -0.00315, 0.133]"
24,0.48,"[-0.574, 0.395, -1.53]","[0.997, 0.0443, 0.0636, 0.000442]","[1.02e+03, 1.98e+03, 2e+03, 1e+03]","[0.00759, -0.00363, 0.144]"
25,0.5,"[-0.605, 0.417, -1.58]","[0.997, 0.0441, 0.0633, 0.000444]","[1.84e+03, 2e+03, 2e+03, 1e+03]","[0.0087, -0.00415, 0.154]"
26,0.52,"[-0.639, 0.44, -1.65]","[0.997, 0.0438, 0.0627, 0.000447]","[1e+03, 2e+03, 2e+03, 1.99e+03]","[0.00989, -0.00471, 0.168]"
27,0.54,"[-0.671, 0.462, -1.7]","[0.997, 0.0434, 0.0621, 0.000457]","[1.18e+03, 2e+03, 1e+03, 2e+03]","[0.0112, -0.00531, 0.18]"
28,0.56,"[-0.7, 0.482, -1.75]","[0.997, 0.043, 0.0613, 0.000466]","[1e+03, 2e+03, 1.23e+03, 2e+03]","[0.0126, -0.00596, 0.189]"
29,0.58,"[-0.729, 0.502, -1.79]","[0.997, 0.0424, 0.0603, 0.000478]","[1.61e+03, 2e+03, 2e+03, 1e+03]","[0.014, -0.00665, 0.198]"
30,0.6,"[-0.76, 0.523, -1.84]","[0.997, 0.0417, 0.0594, 0.000486]","[1.88e+03, 1.88e+03, 2e+03, 1e+03]","[0.0156, -0.00738, 0.211]"
31,0.62,"[-0.791, 0.545, -1.91]","[0.997, 0.041, 0.0583, 0.000487]","[1e+03, 2e+03, 2e+03, 2e+03]","[0.0172, -0.00817, 0.227]"
32,0.64,"[-0.825, 0.569, -2.01]","[0.998, 0.0402, 0.0571, 0.000487]","[1e+03, 2e+03, 1.96e+03, 2e+03]","[0.0189, -0.00898, 0.25]"
