n,t,v,q,pwm,fa
0,0,"[0, 0, 0]","[1, 0, 0, 0]","[2e+03, 2e+03, 2e+03, 2e+03]","[-0.753, 0, -9.49]"
1,0.02,"[-0.00863, 5.57e-21, -0.0185]","[1, 6.78e-20, 0.000118, 1.22e-22]","[1.94e+03, 2e+03, 1.94e+03, 2e+03]","[-0.747, -1.75e-18, -10.8]"
2,0.04,"[-0.0186, 1.92e-19, -0.151]","[1, 4.62e-19, 0.000219, 3.55e-20]","[1.94e+03, 2e+03, 1.94e+03, 2e+03]","[-0.739, -1.4e-17, -26.6]"
3,0.06,"[-0.0287, 8.89e-19, -0.434]","[1, 1.06e-18, 0.000273, 1.56e-19]","[1.94e+03, 2e+03, 1.94e+03, 2e+03]","[-0.734, -7.45e-17, -34.2]"
4,0.08,"[-0.0387, 2.39e-18, -0.784]","[1, 1.62e-18, 0.000271, 4.1e-19]","[1.94e+03, 2e+03, 1.94e+03, 2e+03]","[-0.736, -9.36e-17, -37.4]"
5,0.1,"[-0.0487, 4.69e-18, -1.16]","[1, 2.46e-18, 0.000209, 7.95e-19]","[1.94e+03, 2e+03, 1.94e+03, 2e+03]","[-0.746, -2.44e-16, -38.6]"
6,0.12,"[-0.0586, 8.17e-18, -1.55]","[1, 3.57e-18, 8.43e-05, 1.31e-18]","[1.94e+03, 2e+03, 1.94e+03, 2e+03]","[-0.765, -3.25e-16, -39.1]"
7,0.14,"[-0.0682, 1.3e-17, -1.94]","[1, 4.61e-18, -0.000104, 1.97e-18]","[1.94e+03, 2e+03, 1.94e+03, 2e+03]","[-0.792, -3.53e-16, -39.2]"
8,0.16,"[-0.0774, 1.92e-17, -2.34]","[1, 6.03e-18, -0.000359, 2.81e-18]","[1.94e+03, 2e+03, 1.94e+03, 2e+03]","[-0.83, -7.1e-16, -39.2]"
9,0.18,"[-0.0863, 2.71e-17, -2.73]","[1, 7.62e-18, -0.000681, 3.77e-18]","[1.94e+03, 2e+03, 1.94e+03, 2e+03]","[-0.877, -7.53e-16, -39.1]"
10,0.2,"[-0.0947, 3.66e-17, -3.12]","[1, 8.74e-18, -0.00108, 4.89e-18]","[1.94e+03, 2e+03, 1.94e+03, 2e+03]","[-0.936, -7.32e-16, -39]"
